日期编号,订单编号,上车站序,上车站点名称,上车时间,下车站序,下车站点名称,下车时间
1,623,1,AB,241,14,AO,2004
1,912,1,AB,301,33,BH,3777
1,1455,1,AB,1201,45,BT,5738
1,199,1,AB,1201,36,BK,4457
1,426,1,AB,2941,39,BN,7304
1,1459,1,AB,2941,3,AD,3327
1,2223,1,AB,2941,7,AH,3874
1,1620,1,AB,2941,3,AD,3307
1,1156,1,AB,4501,34,BI,8234
1,2480,1,AB,5221,3,AD,5487
1,656,1,AB,6001,26,BA,9214
1,1169,1,AB,6001,19,AT,8581
1,589,1,AB,6061,18,AS,8476
1,2305,1,AB,6061,46,BU,11698
1,1728,1,AB,6061,46,BU,11699
1,610,1,AB,6061,18,AS,8464
1,2030,1,AB,6061,24,AY,9004
1,8,1,AB,6841,26,BA,9719
1,2040,1,AB,6841,38,BM,11131
1,2299,1,AB,7441,3,AD,7764
1,1244,1,AB,7441,43,BR,12479
1,2240,1,AB,7441,43,BR,12472
1,2220,1,AB,8101,19,AT,10405
1,2421,1,AB,8101,19,AT,10419
1,1493,1,AB,8101,28,BC,11218
1,100,1,AB,8101,43,BR,13185
1,2590,1,AB,8161,47,BV,13919
1,2256,1,AB,8161,19,AT,10424
1,254,1,AB,8821,19,AT,11244
1,993,1,AB,8821,43,BR,13869
1,2532,1,AB,8821,45,BT,14187
1,2696,1,AB,8821,43,BR,13873
1,359,1,AB,9601,44,BS,15032
1,717,1,AB,9601,9,AJ,10882
1,1512,1,AB,9601,46,BU,15260
1,1437,1,AB,9601,46,BU,15257
1,1821,1,AB,9601,9,AJ,10878
1,1469,1,AB,9601,43,BR,14916
1,2182,1,AB,10321,47,BV,16443
1,30,1,AB,10321,46,BU,16059
1,156,1,AB,10321,47,BV,16445
1,1674,1,AB,10321,45,BT,15984
1,1545,1,AB,10321,11,AL,11771
1,2651,1,AB,10321,46,BU,16055
1,1250,1,AB,10321,42,BQ,15680
1,963,1,AB,10801,44,BS,16903
1,721,1,AB,10801,48,BW,17412
1,2326,1,AB,10801,43,BR,16760
1,671,1,AB,10801,47,BV,17154
1,910,1,AB,11641,48,BW,18660
1,2,1,AB,11701,15,AP,14375
1,1099,1,AB,12361,36,BK,16985
1,2377,1,AB,12361,46,BU,18406
1,1040,1,AB,12361,36,BK,16988
1,2445,1,AB,13021,48,BW,19061
1,2139,1,AB,13741,47,BV,19887
1,1893,1,AB,13741,17,AR,16487
1,2684,1,AB,13741,19,AT,16641
